iter	Passed	Remaining
151	545	3042
152	548	3035
153	552	3033
154	555	3029
155	559	3024
156	561	3017
157	564	3010
158	569	3012
159	572	3007
160	575	3001
161	578	2993
162	582	2990
163	585	2984
164	588	2978
165	591	2972
166	594	2965
167	598	2964
168	601	2958
169	604	2952
170	607	2946
171	610	2939
172	614	2937
173	617	2931
174	620	2924
175	623	2918
176	626	2911
177	629	2907
178	632	2902
179	635	2896
180	638	2888
181	641	2882
182	644	2878
183	647	2872
184	650	2865
185	653	2859
186	656	2853
187	659	2847
188	662	2842
189	665	2835
190	668	2829
191	671	2824
192	673	2817
193	677	2815
194	680	2807
195	683	2802
196	686	2797
197	688	2790
198	692	2785
199	696	2784
200	710	2824
201	713	2820
202	716	2814
203	720	2809
204	722	2803
205	726	2801
206	729	2795
207	732	2790
208	735	2784
209	738	2778
210	742	2775
211	744	2769
212	748	2763
213	751	2758
214	753	2752
215	757	2749
216	760	2744
217	763	2738
218	766	2733
219	769	2726
220	772	2723
221	775	2718
222	778	2713
223	781	2708
224	784	2702
225	787	2697
226	790	2693
227	793	2687
228	796	2682
229	799	2677
230	802	2671
231	805	2666
232	808	2661
233	811	2656
234	814	2651
235	817	2645
236	820	2640
237	823	2636
238	826	2631
239	829	2625
240	831	2619
241	834	2614
242	838	2613
243	841	2608
244	844	2603
245	847	2598
246	850	2592
247	853	2588
248	856	2584
249	859	2579
250	862	2574
251	865	2568
252	868	2565
253	871	2559
254	874	2555
255	877	2551
256	880	2545
257	884	2543
258	887	2539
259	890	2534
260	893	2530
261	896	2525
262	900	2522
263	902	2517
264	906	2513
265	909	2510
266	913	2506
267	916	2504
268	921	2503
269	924	2499
270	926	2491
271	929	2486
272	933	2484
273	936	2480
274	939	2476
275	942	2471
276	945	2467
277	949	2464
278	952	2460
279	955	2456
280	958	2452
281	961	2448
282	965	2445
283	968	2442
284	972	2438
285	975	2434
286	978	2430
287	980	2423
288	983	2418
289	986	2414
290	989	2410
291	992	2406
292	995	2402
293	998	2396
294	1001	2393
295	1004	2389
296	1007	2385
297	1011	2381
298	1014	2378
299	1017	2374
300	1020	2370
301	1023	2365
302	1026	2362
303	1030	2359
304	1033	2354
305	1036	2349
306	1038	2345
307	1042	2341
308	1045	2336
309	1047	2332
310	1051	2328
311	1054	2325
312	1057	2320
313	1060	2317
314	1063	2313
315	1067	2309
316	1069	2305
317	1072	2300
318	1080	2305
319	1083	2302
320	1086	2297
321	1089	2293
322	1092	2289
323	1096	2287
324	1099	2284
325	1102	2279
326	1106	2277
327	1110	2274
328	1113	2270
329	1116	2265
330	1119	2262
331	1123	2259
332	1125	2255
333	1129	2251
334	1132	2247
335	1135	2243
336	1138	2240
337	1141	2236
338	1145	2232
339	1147	2228
340	1151	2224
341	1154	2221
342	1158	2218
343	1161	2215
344	1164	2210
345	1167	2207
346	1171	2204
347	1174	2201
348	1178	2197
349	1181	2193
350	1184	2189
351	1187	2186
352	1190	2182
353	1193	2177
354	1196	2174
355	1199	2170
356	1203	2167
357	1213	2176
358	1217	2173
359	1220	2170
360	1223	2165
361	1226	2162
362	1230	2158
363	1233	2154
364	1236	2151
365	1240	2148
366	1243	2144
367	1245	2139
368	1249	2136
369	1252	2132
370	1255	2129
371	1259	2125
372	1261	2121
373	1265	2118
374	1269	2115
375	1272	2112
376	1275	2108
377	1278	2104
378	1282	2101
379	1285	2097
380	1289	2094
381	1292	2090
382	1295	2087
383	1300	2085
384	1303	2082
385	1306	2078
386	1309	2074
387	1312	2070
388	1316	2067
389	1319	2063
390	1322	2059
391	1325	2055
392	1329	2052
393	1332	2049
394	1335	2045
395	1338	2041
396	1341	2038
397	1345	2034
398	1348	2031
399	1351	2027
400	1354	2023
401	1358	2020
402	1361	2017
403	1365	2013
404	1368	2009
405	1371	2006
406	1374	2002
407	1377	1999
408	1381	1996
409	1384	1992
410	1387	1988
411	1390	1984
412	1393	1980
413	1396	1977
414	1399	1973
415	1403	1969
416	1406	1965
417	1409	1962
418	1412	1958
419	1415	1954
420	1418	1950
421	1421	1946
422	1425	1943
423	1428	1939
424	1430	1935
425	1433	1932
426	1436	1928
427	1440	1925
428	1444	1922
429	1447	1918
430	1450	1914
431	1453	1910
432	1456	1907
433	1459	1903
434	1462	1899
435	1465	1895
436	1468	1891
437	1472	1889
438	1475	1886
439	1479	1882
440	1482	1878
441	1485	1874
442	1488	1872
443	1492	1868
444	1495	1865
445	1498	1861
446	1501	1858
447	1507	1856
448	1510	1854
449	1513	1849
450	1516	1846
451	1519	1842
452	1522	1838
453	1525	1835
454	1529	1831
455	1532	1828
456	1572	1868
457	1581	1871
458	1589	1872
459	1596	1873
460	1602	1873
461	1612	1878
462	1619	1878
463	1625	1877
464	1630	1875
465	1634	1873
466	1638	1869
467	1641	1865
468	1644	1861
469	1647	1857
470	1650	1853
471	1653	1849
472	1656	1845
473	1659	1841
474	1662	1837
475	1665	1833
476	1669	1829
477	1672	1825
478	1674	1821
479	1678	1817
480	1681	1813
481	1684	1810
482	1687	1805
483	1689	1801
484	1692	1797
485	1696	1794
486	1716	1808
487	1722	1806
488	1727	1804
489	1731	1801
490	1734	1797
491	1737	1793
492	1740	1789
493	1743	1786
494	1746	1781
495	1749	1777
496	1752	1773
497	1755	1769
498	1758	1765
499	1761	1761
500	1765	1758
501	1767	1753
502	1771	1750
503	1775	1746
504	1779	1744
505	1782	1740
506	1785	1736
507	1789	1733
508	1793	1730
509	1797	1726
510	1801	1723
511	1804	1720
512	1808	1717
513	1812	1713
514	1816	1710
515	1819	1706
516	1823	1703
517	1827	1700
518	1830	1696
519	1834	1693
520	1838	1690
521	1842	1686
522	1845	1683
523	1848	1679
524	1851	1675
525	1855	1672
526	1858	1668
527	1861	1664
528	1864	1660
529	1867	1656
530	1871	1652
531	1875	1649
532	1878	1645
533	1880	1641
534	1884	1637
535	1887	1633
536	1891	1630
537	1895	1627
538	1898	1624
539	1903	1621
540	1907	1618
541	1910	1614
542	1913	1610
543	1918	1607
544	1921	1604
545	1924	1600
546	1927	1596
547	1931	1592
548	1934	1589
549	1937	1585
550	1940	1581
551	1943	1577
552	1947	1574
553	1951	1570
554	1954	1566
555	1957	1563
556	1960	1559
557	1964	1556
558	1967	1552
559	1970	1548
560	1973	1544
561	1976	1540
562	1980	1537
563	1984	1534
564	1987	1530
565	1991	1526
566	1994	1523
567	1998	1520
568	2001	1516
569	2005	1512
570	2009	1509
571	2012	1506
572	2016	1502
573	2019	1498
574	2023	1495
575	2026	1491
576	2030	1488
577	2033	1484
578	2036	1480
579	2040	1477
580	2044	1474
581	2047	1470
582	2050	1466
583	2054	1463
584	2058	1460
585	2061	1456
586	2065	1453
587	2068	1449
588	2071	1445
589	2077	1443
590	2080	1439
591	2084	1436
592	2087	1432
593	2091	1429
594	2095	1426
595	2099	1422
596	2102	1419
597	2106	1416
598	2110	1412
599	2113	1408
600	2116	1405
601	2120	1401
602	2124	1398
603	2127	1394
604	2130	1390
605	2134	1387
606	2138	1384
607	2141	1380
608	2145	1377
609	2148	1373
610	2152	1370
611	2155	1366
612	2159	1363
613	2162	1359
614	2165	1355
615	2169	1352
616	2173	1349
617	2176	1345
618	2180	1341
619	2184	1338
620	2188	1335
621	2192	1332
622	2195	1328
623	2198	1324
624	2202	1321
625	2206	1317
626	2209	1314
627	2212	1310
628	2216	1307
629	2221	1304
630	2224	1301
631	2228	1297
632	2232	1294
633	2235	1290
634	2238	1286
635	2241	1283
636	2244	1279
637	2284	1296
638	2289	1293
639	2293	1289
640	2297	1286
641	2302	1283
642	2310	1282
643	2316	1280
644	2321	1277
645	2324	1273
646	2328	1270
647	2331	1266
648	2334	1262
649	2337	1258
650	2340	1254
651	2344	1251
652	2347	1247
653	2350	1243
654	2353	1239
655	2356	1235
656	2359	1232
657	2363	1228
658	2366	1224
659	2369	1220
660	2372	1216
661	2377	1213
662	2381	1210
663	2384	1206
664	2387	1202
665	2390	1199
666	2394	1195
667	2397	1191
668	2400	1187
669	2403	1183
670	2406	1180
671	2409	1176
672	2413	1172
673	2415	1168
674	2419	1164
675	2422	1160
676	2426	1157
677	2429	1153
678	2432	1149
679	2435	1146
680	2439	1142
681	2442	1138
682	2445	1134
683	2448	1131
684	2451	1127
685	2454	1123
686	2457	1119
687	2461	1116
688	2464	1112
689	2467	1108
690	2471	1105
691	2474	1101
692	2477	1097
693	2480	1093
694	2484	1090
695	2488	1086
696	2491	1083
697	2494	1079
698	2497	1075
699	2501	1072
700	2505	1068
701	2509	1065
702	2513	1061
703	2517	1058
704	2520	1054
705	2523	1050
706	2526	1046
707	2529	1043
708	2533	1039
709	2536	1036
710	2539	1032
711	2542	1028
712	2546	1024
713	2549	1021
714	2553	1017
715	2556	1013
716	2559	1010
717	2562	1006
718	2566	1002
719	2569	999
720	2572	995
721	2575	991
722	2579	988
723	2583	984
724	2586	980
725	2588	977
726	2592	973
727	2595	969
728	2598	966
729	2601	962
730	2605	958
731	2608	954
732	2611	951
733	2615	947
734	2618	943
735	2621	940
736	2624	936
737	2627	932
738	2631	929
739	2634	925
740	2637	921
741	2640	917
742	2643	914
743	2646	910
744	2649	906
745	2651	902
746	2654	899
747	2657	895
748	2661	891
749	2664	888
750	2667	884
751	2670	880
752	2676	878
753	2680	874
754	2684	871
755	2688	867
756	2692	864
757	2712	865
758	2715	862
759	2718	858
760	2722	855
761	2726	851
762	2729	847
763	2732	844
764	2735	840
765	2740	837
766	2743	833
767	2746	829
768	2749	825
769	2752	822
770	2756	818
771	2759	815
772	2762	811
773	2765	807
774	2767	803
775	2771	800
776	2774	796
777	2777	792
778	2780	788
779	2783	784
780	2786	781
781	2789	777
782	2792	773
783	2795	770
784	2797	766
785	2800	762
786	2804	758
787	2807	755
788	2810	751
789	2812	747
790	2815	743
791	2819	740
792	2823	737
793	2826	733
794	2829	729
795	2832	725
796	2851	726
797	2854	722
798	2857	718
799	2860	715
800	2863	711
801	2867	707
802	2869	704
803	2872	700
804	2875	696
805	2877	692
806	2880	688
807	2884	685
808	2887	681
809	2890	677
810	2893	674
811	2898	671
812	2901	667
813	2905	663
814	2910	660
815	2918	658
816	2922	654
817	2926	651
818	2930	647
819	2934	644
820	2938	640
821	2953	639
822	2957	635
823	2962	632
824	2967	629
825	2970	625
826	2973	622
827	2977	618
828	2981	615
829	2984	611
830	2987	607
831	2991	604
832	2995	600
833	2998	596
834	3001	593
835	3004	589
836	3007	585
837	3011	582
838	3014	578
839	3017	574
840	3020	571
841	3024	567
842	3027	563
843	3030	560
844	3033	556
845	3036	552
846	3040	549
847	3044	545
848	3047	542
849	3050	538
850	3054	534
851	3057	531
852	3060	527
853	3063	523
854	3066	520
855	3070	516
856	3073	512
857	3076	509
858	3079	505
859	3082	501
860	3086	498
861	3090	494
862	3093	491
863	3096	487
864	3100	483
865	3104	480
866	3107	476
867	3110	473
868	3121	470
869	3126	467
870	3129	463
871	3132	459
872	3135	456
873	3138	452
874	3140	448
875	3143	444
876	3146	441
877	3149	437
878	3152	433
879	3155	430
880	3158	426
881	3161	422
882	3164	419
883	3167	415
884	3170	411
885	3173	408
886	3175	404
887	3179	401
888	3182	397
889	3185	393
890	3188	390
891	3190	386
892	3194	382
893	3198	379
894	3201	375
895	3204	371
896	3207	368
897	3210	364
898	3214	361
899	3217	357
900	3220	353
901	3223	350
902	3226	346
903	3230	343
904	3233	339
905	3236	335
906	3239	332
907	3242	328
908	3246	324
909	3249	321
910	3252	317
911	3255	314
912	3258	310
913	3267	307
914	3270	303
915	3273	300
916	3277	296
917	3280	293
918	3283	289
919	3286	285
920	3289	282
921	3293	278
922	3296	275
923	3300	271
924	3303	267
925	3307	264
926	3312	260
927	3316	257
928	3319	253
929	3322	250
930	3325	246
931	3328	242
932	3332	239
933	3335	235
934	3338	232
935	3341	228
936	3344	224
937	3347	221
938	3350	217
939	3353	214
940	3357	210
941	3360	206
942	3363	203
943	3366	199
944	3369	196
945	3373	192
946	3376	188
947	3379	185
948	3382	181
949	3386	178
950	3389	174
951	3392	171
952	3395	167
953	3399	163
954	3403	160
955	3406	156
956	3409	153
957	3412	149
958	3416	146
959	3419	142
960	3423	138
961	3426	135
962	3429	131
963	3433	128
964	3436	124
965	3439	121
966	3442	117
967	3445	113
968	3449	110
969	3453	106
970	3456	103
971	3459	99
972	3462	96
973	3466	92
974	3469	88
975	3472	85
976	3475	81
977	3478	78
978	3482	74
979	3485	71
980	3488	67
981	3491	63
982	3495	60
983	3498	56
984	3502	53
985	3507	49
986	3528	46
987	3533	42
988	3537	39
989	3541	35
990	3545	32
991	3549	28
992	3552	25
993	3555	21
994	3558	17
995	3561	14
996	3564	10
997	3567	7
998	3570	3
999	3572	0
