iter	Logloss
0	0.6771827063
1	0.6641966412
2	0.6497467227
3	0.6359046178
4	0.6223913351
5	0.610794284
6	0.5996215697
7	0.5892237418
8	0.58035105
9	0.5708231897
10	0.5624198991
11	0.55431188
12	0.5466303642
13	0.5393928079
14	0.5327605273
15	0.5267985191
16	0.5205674858
17	0.515185745
18	0.5092037425
19	0.5046510522
20	0.5001257844
21	0.4953579235
22	0.4905965004
23	0.4862332605
24	0.4817762394
25	0.4779029212
26	0.4739623157
27	0.4701777336
28	0.4667091602
29	0.4632779444
30	0.4601060972
31	0.4569617343
32	0.4538682237
33	0.4513406812
34	0.4488876993
35	0.44646019
36	0.4438859735
37	0.4413349391
38	0.4395106318
39	0.4377969738
40	0.4352228192
41	0.433157002
42	0.4313733331
43	0.4295424022
44	0.4274027672
45	0.4259086439
46	0.4240031213
47	0.4223435655
48	0.4208914426
49	0.4189165282
50	0.4173194932
51	0.4162049206
52	0.4142341227
53	0.4127692789
54	0.4113396883
55	0.409062136
56	0.4070437046
57	0.4049134477
58	0.4035983134
59	0.4025025281
60	0.4010587928
61	0.3996869875
62	0.398644871
63	0.3975269248
64	0.3961562956
65	0.3949953277
66	0.3940143701
67	0.393225989
68	0.3920082882
69	0.390901701
70	0.389137655
71	0.3881523334
72	0.3873303396
73	0.386206977
74	0.3854168008
75	0.3846769197
76	0.3838273797
77	0.3828794777
78	0.3820663978
79	0.3809703339
80	0.3802094682
81	0.3793254489
82	0.378587982
83	0.3775538818
84	0.376854175
85	0.3753991427
86	0.3748739989
87	0.3734172953
88	0.3724677219
89	0.3718229839
90	0.3708936834
91	0.370323599
92	0.3694981697
93	0.3686322257
94	0.3679079129
95	0.3672086704
96	0.3665942643
97	0.3660594638
98	0.3656928196
99	0.3651604333
100	0.3644539483
101	0.3640506891
102	0.3636240002
103	0.362944071
104	0.3622936071
105	0.3618558996
106	0.3610964576
107	0.3605298396
108	0.3598213118
109	0.3593292546
110	0.3586097083
111	0.3580414499
112	0.3569751298
113	0.3565163448
114	0.3560538147
115	0.3557415511
116	0.3551327781
117	0.3546058082
118	0.3542213982
119	0.3538932259
120	0.3530569328
121	0.3525298701
122	0.352142984
123	0.3517464721
124	0.3512373299
125	0.3508310995
126	0.3503681051
127	0.3498087606
128	0.3493855382
129	0.3489337171
130	0.3485099375
131	0.3482640636
132	0.3478542119
133	0.347554793
134	0.3468231758
135	0.3464656002
136	0.346137366
137	0.3455330189
138	0.3448454139
139	0.3445406095
140	0.3440368529
141	0.3436478621
142	0.3432085761
143	0.3429008314
144	0.3425430391
145	0.3420943131
146	0.341732559
147	0.3413728478
148	0.3410518252
149	0.3406689317
150	0.3403999066
151	0.3400865907
152	0.3394858339
153	0.3389522096
154	0.3387293322
155	0.3384564382
156	0.3381097573
157	0.3377954201
158	0.33754902
159	0.337329733
160	0.3369777904
161	0.3367971919
162	0.3365867259
163	0.3361813621
164	0.3359300099
165	0.3356859312
166	0.3352560542
167	0.3350366743
168	0.3347783891
169	0.334218828
170	0.333785856
171	0.3333893751
172	0.3331617313
173	0.3326955799
174	0.3323997513
175	0.3321682386
176	0.3318134176
177	0.3315324454
178	0.3311511924
179	0.3308530734
180	0.33056783
181	0.3302421647
182	0.329869516
183	0.3296106118
184	0.3293655736
185	0.3290632453
186	0.3288632406
187	0.3286337398
188	0.3282974893
189	0.3277614199
190	0.3272022611
191	0.3269273243
192	0.326641431
193	0.3263880979
194	0.3261490023
195	0.3258995691
196	0.3256037095
197	0.3254126187
198	0.3252141925
199	0.3249395343
200	0.324748784
201	0.3245879941
202	0.3243414703
203	0.3241390205
204	0.3239061151
205	0.3235585056
206	0.3234456277
207	0.3232342641
208	0.3229696649
209	0.32277486
210	0.3225440592
211	0.3223225437
212	0.3221278935
213	0.3219030044
214	0.3216075472
215	0.3213021547
216	0.3211382388
217	0.3208837606
218	0.3206678781
219	0.3204242327
220	0.3202478126
221	0.3200343753
222	0.3197945678
223	0.3195239951
224	0.3194179264
225	0.3192363685
226	0.3191004322
227	0.3188323665
228	0.3185970159
229	0.3183714768
230	0.3181737935
231	0.3179905642
232	0.3177290911
233	0.3176191845
234	0.3174648324
235	0.3173102636
236	0.3170206252
237	0.316525999
238	0.3163475362
239	0.3161392986
240	0.3159452984
241	0.3155515412
242	0.315361905
243	0.3150546865
244	0.3147937086
245	0.3145917231
246	0.3144996442
247	0.3142545441
248	0.3138849905
249	0.3135939283
250	0.3133954093
251	0.3131396621
252	0.3129302174
253	0.3127181419
254	0.3126514427
255	0.3124189706
256	0.311915771
257	0.3117180877
258	0.3115041241
259	0.3113158808
260	0.3110490842
261	0.3108353992
262	0.3106894658
263	0.3104259808
264	0.3102183622
265	0.3100406732
266	0.3099589938
267	0.3097445351
268	0.3095399497
269	0.3093499731
270	0.3093431639
271	0.309138888
272	0.3089431237
273	0.3087731723
274	0.3086451285
275	0.3085480046
276	0.3082959096
277	0.3080866816
278	0.3079402219
279	0.3077789988
280	0.3076353866
281	0.307423992
282	0.3071848345
283	0.3071106452
284	0.3069753898
285	0.3068195521
286	0.3066161428
287	0.3064808565
288	0.306270669
289	0.3061209286
290	0.3059779355
291	0.3058207978
292	0.3056890399
293	0.30553769
294	0.3053007609
295	0.3051295097
296	0.3050085845
297	0.3048798288
298	0.3047273338
299	0.3046220079
300	0.3044567921
301	0.3042532281
302	0.3039867718
303	0.3037939478
304	0.30366903
305	0.3034777535
306	0.3032918624
307	0.303150355
308	0.3030248801
309	0.3029226493
310	0.3027175687
311	0.3025336275
312	0.302363769
313	0.3021411393
314	0.3019203975
315	0.3016638765
316	0.3014993107
317	0.3013394184
318	0.3010731788
319	0.3009006585
320	0.3007113629
321	0.3005437019
322	0.300316151
323	0.3001044159
324	0.2999137275
325	0.2997123919
326	0.2996401216
327	0.2993895123
328	0.2992426812
329	0.2991033403
330	0.2988784202
331	0.2986985646
332	0.2985891841
333	0.298393265
334	0.2982625903
335	0.298138013
336	0.2979437343
337	0.2978198688
338	0.2975010746
339	0.2973348064
340	0.2972051531
341	0.2970485107
342	0.2968988941
343	0.2966852091
344	0.2965411946
345	0.296388452
346	0.2962225243
347	0.2960596916
348	0.2958479566
349	0.2957419498
350	0.2956104704
351	0.2954122609
352	0.2951314125
353	0.2950199274
354	0.2948032093
355	0.294671049
356	0.2945394458
357	0.2943695254
358	0.2941829534
359	0.2940229683
360	0.2938802537
361	0.2936804967
362	0.2934456104
363	0.2932715735
364	0.2931166334
